 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   7,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  1.80592E-07  4.45729E-09  1.07316E-11  2.64876E-13
  8.000E-03  4.87388E-09  1.80515E-07  4.45692E-09  1.10731E-11  2.73398E-13
  8.250E-03  5.18326E-09  1.80436E-07  4.45655E-09  1.14141E-11  2.81917E-13
  8.500E-03  5.50215E-09  1.80355E-07  4.45616E-09  1.17547E-11  2.90435E-13
  8.750E-03  5.83057E-09  1.80271E-07  4.45576E-09  1.20948E-11  2.98951E-13
  9.000E-03  6.16850E-09  1.80185E-07  4.45535E-09  1.24344E-11  3.07464E-13
  9.250E-03  6.51596E-09  1.80097E-07  4.45493E-09  1.27736E-11  3.15975E-13
  9.500E-03  6.87293E-09  1.80006E-07  4.45450E-09  1.31122E-11  3.24483E-13
  9.750E-03  7.23942E-09  1.79913E-07  4.45405E-09  1.34503E-11  3.32989E-13
  1.000E-02  7.61544E-09  1.79818E-07  4.45360E-09  1.37879E-11  3.41492E-13
  1.250E-02  1.18991E-08  1.78739E-07  4.44841E-09  1.71314E-11  4.26367E-13
  1.500E-02  1.71347E-08  1.77436E-07  4.44208E-09  2.04079E-11  5.10913E-13
  1.750E-02  2.33223E-08  1.75920E-07  4.43463E-09  2.36057E-11  5.95066E-13
  2.000E-02  3.04617E-08  1.74200E-07  4.42607E-09  2.67142E-11  6.78762E-13
  2.250E-02  3.85531E-08  1.72288E-07  4.41641E-09  2.97237E-11  7.61941E-13
  2.500E-02  4.75965E-08  1.70198E-07  4.40566E-09  3.26257E-11  8.44541E-13
  2.750E-02  5.75917E-08  1.67942E-07  4.39385E-09  3.54126E-11  9.26504E-13
  3.000E-02  6.85389E-08  1.65535E-07  4.38099E-09  3.80783E-11  1.00777E-12
  3.250E-02  8.04380E-08  1.62991E-07  4.36710E-09  4.06175E-11  1.08829E-12
  3.500E-02  9.32891E-08  1.60324E-07  4.35221E-09  4.30262E-11  1.16801E-12
  3.750E-02  1.07092E-07  1.57550E-07  4.33633E-09  4.53017E-11  1.24688E-12
  4.000E-02  1.21847E-07  1.54681E-07  4.31950E-09  4.74420E-11  1.32484E-12
  4.250E-02  1.37554E-07  1.51733E-07  4.30173E-09  4.94464E-11  1.40185E-12
  4.500E-02  1.54213E-07  1.48719E-07  4.28305E-09  5.13149E-11  1.47787E-12
  4.750E-02  1.71823E-07  1.45651E-07  4.26349E-09  5.30485E-11  1.55285E-12
  5.000E-02  1.90386E-07  1.42543E-07  4.24308E-09  5.46489E-11  1.62675E-12
  5.250E-02  2.09900E-07  1.39406E-07  4.22185E-09  5.61186E-11  1.69954E-12
  5.500E-02  2.30367E-07  1.36251E-07  4.19982E-09  5.74605E-11  1.77118E-12
  5.750E-02  2.51785E-07  1.33089E-07  4.17704E-09  5.86780E-11  1.84164E-12
  6.000E-02  2.74156E-07  1.29929E-07  4.15351E-09  5.97752E-11  1.91089E-12
  6.250E-02  2.97478E-07  1.26779E-07  4.12929E-09  6.07564E-11  1.97891E-12
