 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Electron density: Read from file z_053.den   
 #                   Number of data points =  749
 #                   Volume integral = 5.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.80420E-18 cm**2 = 2.07272E-01 a0**2
 # 1st transport cross section = 2.49328E-22 cm**2 = 8.90365E-06 a0**2
 # 2nd transport cross section = 6.90065E-22 cm**2 = 2.46427E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.000E-03  2.74156E-09  7.73462E-13  2.76208E+04  0.00000E+00  1.0E-07
  6.250E-03  2.97478E-09  7.72709E-13  2.75939E+04  0.00000E+00  1.0E-07
  6.500E-03  3.21752E-09  7.71926E-13  2.75660E+04  0.00000E+00  1.0E-07
  6.750E-03  3.46978E-09  7.71113E-13  2.75370E+04  0.00000E+00  1.0E-07
  7.000E-03  3.73156E-09  7.70272E-13  2.75069E+04  0.00000E+00  1.0E-07
  7.250E-03  4.00286E-09  7.69401E-13  2.74758E+04  0.00000E+00  1.0E-07
  7.500E-03  4.28368E-09  7.68501E-13  2.74437E+04  0.00000E+00  1.0E-07
  7.750E-03  4.57402E-09  7.67572E-13  2.74105E+04  0.00000E+00  1.0E-07
  8.000E-03  4.87388E-09  7.66614E-13  2.73763E+04  0.00000E+00  1.0E-07
  8.250E-03  5.18326E-09  7.65628E-13  2.73411E+04  0.00000E+00  1.0E-07
  8.500E-03  5.50215E-09  7.64614E-13  2.73048E+04  0.00000E+00  1.0E-07
  8.750E-03  5.83057E-09  7.63571E-13  2.72676E+04  0.00000E+00  1.0E-07
  9.000E-03  6.16850E-09  7.62500E-13  2.72294E+04  0.00000E+00  1.0E-07
  9.250E-03  6.51596E-09  7.61402E-13  2.71902E+04  0.00000E+00  1.0E-07
  9.500E-03  6.87293E-09  7.60276E-13  2.71499E+04  0.00000E+00  1.0E-07
  9.750E-03  7.23942E-09  7.59122E-13  2.71087E+04  0.00000E+00  1.0E-07
  1.000E-02  7.61544E-09  7.57941E-13  2.70666E+04  0.00000E+00  1.0E-07
  1.250E-02  1.18991E-08  7.44680E-13  2.65930E+04  0.00000E+00  1.0E-07
  1.500E-02  1.71347E-08  7.28938E-13  2.60309E+04  0.00000E+00  1.0E-07
  1.750E-02  2.33223E-08  7.10968E-13  2.53891E+04  0.00000E+00  1.0E-07
  2.000E-02  3.04617E-08  6.91047E-13  2.46777E+04  0.00000E+00  1.0E-07
  2.250E-02  3.85531E-08  6.69466E-13  2.39071E+04  0.00000E+00  1.0E-07
  2.500E-02  4.75965E-08  6.46525E-13  2.30878E+04  0.00000E+00  1.0E-07
  2.750E-02  5.75917E-08  6.22521E-13  2.22306E+04  0.00000E+00  1.0E-07
  3.000E-02  6.85389E-08  5.97745E-13  2.13459E+04  0.00000E+00  1.0E-07
  3.250E-02  8.04380E-08  5.72471E-13  2.04433E+04  0.00000E+00  1.0E-07
  3.500E-02  9.32891E-08  5.46957E-13  1.95322E+04  0.00000E+00  1.0E-07
  3.750E-02  1.07092E-07  5.21435E-13  1.86208E+04  0.00000E+00  1.0E-07
  4.000E-02  1.21847E-07  4.96114E-13  1.77165E+04  0.00000E+00  1.0E-07
  4.250E-02  1.37554E-07  4.71176E-13  1.68260E+04  0.00000E+00  1.0E-07
  4.500E-02  1.54213E-07  4.46775E-13  1.59546E+04  0.00000E+00  1.0E-07
  4.750E-02  1.71823E-07  4.23041E-13  1.51071E+04  0.00000E+00  1.0E-07
  5.000E-02  1.90386E-07  4.00077E-13  1.42870E+04  0.00000E+00  1.0E-07
  5.250E-02  2.09900E-07  3.77965E-13  1.34974E+04  0.00000E+00  1.0E-07
  5.500E-02  2.30367E-07  3.56761E-13  1.27402E+04  0.00000E+00  1.0E-07
  5.750E-02  2.51785E-07  3.36508E-13  1.20169E+04  0.00000E+00  1.0E-07
  6.000E-02  2.74156E-07  3.17227E-13  1.13284E+04  0.00000E+00  1.0E-07
  6.250E-02  2.97478E-07  2.98927E-13  1.06749E+04  0.00000E+00  1.0E-07
  6.500E-02  3.21752E-07  2.81604E-13  1.00563E+04  0.00000E+00  1.0E-07
  6.750E-02  3.46978E-07  2.65244E-13  9.47205E+03  0.00000E+00  1.0E-07
  7.000E-02  3.73156E-07  2.49826E-13  8.92146E+03  0.00000E+00  1.0E-07
  7.250E-02  4.00286E-07  2.35321E-13  8.40347E+03  0.00000E+00  1.0E-07
  7.500E-02  4.28368E-07  2.21695E-13  7.91687E+03  0.00000E+00  1.0E-07
  7.750E-02  4.57402E-07  2.08911E-13  7.46036E+03  0.00000E+00  1.0E-07
  8.000E-02  4.87388E-07  1.96930E-13  7.03251E+03  0.00000E+00  1.0E-07
  8.250E-02  5.18325E-07  1.85712E-13  6.63188E+03  0.00000E+00  1.0E-07
  8.500E-02  5.50215E-07  1.75213E-13  6.25699E+03  0.00000E+00  1.0E-07
  8.750E-02  5.83057E-07  1.65395E-13  5.90636E+03  0.00000E+00  1.0E-07
  9.000E-02  6.16850E-07  1.56215E-13  5.57853E+03  0.00000E+00  1.0E-07
  9.250E-02  6.51596E-07  1.47634E-13  5.27210E+03  0.00000E+00  1.0E-07
  9.500E-02  6.87293E-07  1.39613E-13  4.98568E+03  0.00000E+00  1.0E-07
  9.750E-02  7.23942E-07  1.32116E-13  4.71796E+03  0.00000E+00  1.0E-07
  1.000E-01  7.61543E-07  1.25108E-13  4.46768E+03  0.00000E+00  1.0E-07
  1.250E-01  1.18991E-06  7.54433E-14  2.69413E+03  0.00000E+00  1.0E-07
  1.500E-01  1.71347E-06  4.85785E-14  1.73477E+03  0.00000E+00  1.0E-07
  1.750E-01  2.33223E-06  3.28595E-14  1.17343E+03  0.00000E+00  1.0E-07
  2.000E-01  3.04617E-06  2.29973E-14  8.21249E+02  0.00000E+00  1.0E-07
  2.250E-01  3.85531E-06  1.64932E-14  5.88982E+02  0.00000E+00  1.0E-07
  2.500E-01  4.75964E-06  1.20620E-14  4.30741E+02  0.00000E+00  1.0E-07
  2.750E-01  5.75916E-06  8.97754E-15  3.20594E+02  0.00000E+00  1.0E-07
  3.000E-01  6.85388E-06  6.79595E-15  2.42688E+02  0.00000E+00  1.0E-07
  3.250E-01  8.04378E-06  5.23107E-15  1.86805E+02  0.00000E+00  1.0E-07
  3.500E-01  9.32888E-06  4.09274E-15  1.46154E+02  0.00000E+00  1.2E-07
  3.750E-01  1.07092E-05  3.25254E-15  1.16150E+02  0.00000E+00  1.0E-07
  4.000E-01  1.21846E-05  2.62287E-15  9.36644E+01  0.00000E+00  1.5E-07
