 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  53,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  8.70636E-07  9.78033E-08  5.17371E-11  5.81242E-12
  8.000E-03  4.87388E-09  8.70086E-07  9.77954E-08  5.33724E-11  5.99944E-12
  8.250E-03  5.18326E-09  8.69520E-07  9.77873E-08  5.50045E-11  6.18641E-12
  8.500E-03  5.50215E-09  8.68938E-07  9.77789E-08  5.66333E-11  6.37333E-12
  8.750E-03  5.83057E-09  8.68339E-07  9.77703E-08  5.82588E-11  6.56020E-12
  9.000E-03  6.16850E-09  8.67723E-07  9.77614E-08  5.98809E-11  6.74702E-12
  9.250E-03  6.51596E-09  8.67091E-07  9.77523E-08  6.14994E-11  6.93379E-12
  9.500E-03  6.87293E-09  8.66442E-07  9.77430E-08  6.31143E-11  7.12051E-12
  9.750E-03  7.23942E-09  8.65777E-07  9.77333E-08  6.47255E-11  7.30717E-12
  1.000E-02  7.61544E-09  8.65096E-07  9.77235E-08  6.63329E-11  7.49378E-12
  1.250E-02  1.18991E-08  8.57410E-07  9.76114E-08  8.21796E-11  9.35648E-12
  1.500E-02  1.71347E-08  8.48196E-07  9.74750E-08  9.75560E-11  1.12121E-11
  1.750E-02  2.33223E-08  8.37555E-07  9.73145E-08  1.12388E-10  1.30592E-11
  2.000E-02  3.04617E-08  8.25598E-07  9.71305E-08  1.26610E-10  1.48966E-11
  2.250E-02  3.85531E-08  8.12448E-07  9.69232E-08  1.40167E-10  1.67229E-11
  2.500E-02  4.75965E-08  7.98232E-07  9.66933E-08  1.53016E-10  1.85370E-11
  2.750E-02  5.75917E-08  7.83084E-07  9.64411E-08  1.65124E-10  2.03375E-11
  3.000E-02  6.85389E-08  7.67135E-07  9.61674E-08  1.76466E-10  2.21234E-11
  3.250E-02  8.04380E-08  7.50520E-07  9.58727E-08  1.87031E-10  2.38936E-11
