 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  5.000E+00  1.90265E-03  9.09066E-12  5.87203E-13  3.48685E-13  2.25210E-14
  5.100E+00  1.97947E-03  8.73721E-12  5.66915E-13  3.41836E-13  2.21780E-14
  5.200E+00  2.05780E-03  8.40395E-12  5.47689E-13  3.35251E-13  2.18464E-14
  5.300E+00  2.13765E-03  8.08939E-12  5.29452E-13  3.28914E-13  2.15254E-14
  5.400E+00  2.21902E-03  7.79214E-12  5.12137E-13  3.22812E-13  2.12146E-14
  5.500E+00  2.30190E-03  7.51096E-12  4.95680E-13  3.16931E-13  2.09135E-14
  5.600E+00  2.38630E-03  7.24471E-12  4.80026E-13  3.11261E-13  2.06216E-14
  5.700E+00  2.47222E-03  6.99235E-12  4.65122E-13  3.05789E-13  2.03385E-14
  5.800E+00  2.55965E-03  6.75294E-12  4.50920E-13  3.00506E-13  2.00637E-14
  5.900E+00  2.64859E-03  6.52560E-12  4.37377E-13  2.95402E-13  1.97970E-14
  6.000E+00  2.73905E-03  6.30953E-12  4.24451E-13  2.90468E-13  1.95379E-14
  6.100E+00  2.83103E-03  6.10400E-12  4.12105E-13  2.85696E-13  1.92861E-14
  6.200E+00  2.92452E-03  5.90834E-12  4.00304E-13  2.81077E-13  1.90413E-14
  6.300E+00  3.01952E-03  5.72193E-12  3.89017E-13  2.76605E-13  1.88032E-14
  6.400E+00  3.11604E-03  5.54418E-12  3.78213E-13  2.72273E-13  1.85715E-14
  6.500E+00  3.21407E-03  5.37458E-12  3.67864E-13  2.68074E-13  1.83460E-14
  6.600E+00  3.31362E-03  5.21263E-12  3.57946E-13  2.64002E-13  1.81263E-14
  6.700E+00  3.41468E-03  5.05788E-12  3.48434E-13  2.60052E-13  1.79123E-14
  6.800E+00  3.51725E-03  4.90991E-12  3.39306E-13  2.56217E-13  1.77038E-14
  6.900E+00  3.62133E-03  4.76832E-12  3.30541E-13  2.52494E-13  1.75004E-14
  7.000E+00  3.72692E-03  4.63276E-12  3.22121E-13  2.48877E-13  1.73021E-14
  7.100E+00  3.83403E-03  4.50289E-12  3.14026E-13  2.45362E-13  1.71086E-14
  7.200E+00  3.94265E-03  4.37839E-12  3.06240E-13  2.41944E-13  1.69198E-14
  7.300E+00  4.05278E-03  4.25898E-12  2.98748E-13  2.38620E-13  1.67355E-14
  7.400E+00  4.16442E-03  4.14437E-12  2.91534E-13  2.35386E-13  1.65554E-14
  7.500E+00  4.27757E-03  4.03432E-12  2.84585E-13  2.32238E-13  1.63796E-14
