 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  4.32327E-08  1.86679E-10  2.56906E-12  1.10933E-14
  8.000E-03  4.87388E-09  4.32084E-08  1.86658E-10  2.65045E-12  1.14499E-14
  8.250E-03  5.18326E-09  4.31834E-08  1.86637E-10  2.73169E-12  1.18063E-14
  8.500E-03  5.50215E-09  4.31577E-08  1.86614E-10  2.81280E-12  1.21626E-14
  8.750E-03  5.83057E-09  4.31312E-08  1.86591E-10  2.89375E-12  1.25188E-14
  9.000E-03  6.16850E-09  4.31039E-08  1.86567E-10  2.97455E-12  1.28749E-14
  9.250E-03  6.51596E-09  4.30760E-08  1.86543E-10  3.05519E-12  1.32308E-14
  9.500E-03  6.87293E-09  4.30473E-08  1.86518E-10  3.13568E-12  1.35865E-14
  9.750E-03  7.23942E-09  4.30179E-08  1.86492E-10  3.21599E-12  1.39422E-14
  1.000E-02  7.61544E-09  4.29877E-08  1.86466E-10  3.29615E-12  1.42976E-14
  1.250E-02  1.18991E-08  4.26470E-08  1.86166E-10  4.08752E-12  1.78433E-14
  1.500E-02  1.71347E-08  4.22369E-08  1.85801E-10  4.85787E-12  2.13700E-14
  1.750E-02  2.33223E-08  4.17613E-08  1.85372E-10  5.60370E-12  2.48741E-14
  2.000E-02  3.04617E-08  4.12242E-08  1.84879E-10  6.32188E-12  2.83520E-14
  2.250E-02  3.85531E-08  4.06302E-08  1.84324E-10  7.00964E-12  3.18002E-14
  2.500E-02  4.75965E-08  3.99842E-08  1.83708E-10  7.66466E-12  3.52154E-14
  2.750E-02  5.75917E-08  3.92913E-08  1.83032E-10  8.28502E-12  3.85943E-14
  3.000E-02  6.85389E-08  3.85566E-08  1.82297E-10  8.86920E-12  4.19339E-14
  3.250E-02  8.04380E-08  3.77855E-08  1.81505E-10  9.41614E-12  4.52311E-14
  3.500E-02  9.32891E-08  3.69832E-08  1.80658E-10  9.92515E-12  4.84831E-14
  3.750E-02  1.07092E-07  3.61549E-08  1.79758E-10  1.03959E-11  5.16872E-14
  4.000E-02  1.21847E-07  3.53057E-08  1.78805E-10  1.08285E-11  5.48409E-14
  4.250E-02  1.37554E-07  3.44403E-08  1.77803E-10  1.12233E-11  5.79419E-14
  4.500E-02  1.54213E-07  3.35633E-08  1.76753E-10  1.15809E-11  6.09879E-14
  4.750E-02  1.71823E-07  3.26792E-08  1.75657E-10  1.19022E-11  6.39768E-14
  5.000E-02  1.90386E-07  3.17918E-08  1.74517E-10  1.21885E-11  6.69070E-14
  5.250E-02  2.09900E-07  3.09048E-08  1.73335E-10  1.24408E-11  6.97765E-14
  5.500E-02  2.30367E-07  3.00216E-08  1.72113E-10  1.26608E-11  7.25840E-14
  5.750E-02  2.51785E-07  2.91452E-08  1.70854E-10  1.28499E-11  7.53281E-14
  6.000E-02  2.74156E-07  2.82784E-08  1.69559E-10  1.30098E-11  7.80076E-14
  6.250E-02  2.97478E-07  2.74233E-08  1.68231E-10  1.31421E-11  8.06215E-14
  6.500E-02  3.21752E-07  2.65822E-08  1.66872E-10  1.32486E-11  8.31690E-14
  6.750E-02  3.46978E-07  2.57568E-08  1.65484E-10  1.33309E-11  8.56493E-14
  7.000E-02  3.73156E-07  2.49485E-08  1.64069E-10  1.33908E-11  8.80620E-14
  7.250E-02  4.00286E-07  2.41587E-08  1.62629E-10  1.34300E-11  9.04067E-14
  7.500E-02  4.28368E-07  2.33882E-08  1.61167E-10  1.34500E-11  9.26832E-14
  7.750E-02  4.57402E-07  2.26378E-08  1.59683E-10  1.34524E-11  9.48912E-14
  8.000E-02  4.87388E-07  2.19082E-08  1.58182E-10  1.34388E-11  9.70310E-14
  8.250E-02  5.18325E-07  2.11996E-08  1.56663E-10  1.34106E-11  9.91027E-14
  8.500E-02  5.50215E-07  2.05124E-08  1.55130E-10  1.33691E-11  1.01107E-13
  8.750E-02  5.83057E-07  1.98467E-08  1.53584E-10  1.33156E-11  1.03043E-13
  9.000E-02  6.16850E-07  1.92023E-08  1.52027E-10  1.32514E-11  1.04912E-13
  9.250E-02  6.51596E-07  1.85793E-08  1.50460E-10  1.31776E-11  1.06716E-13
  9.500E-02  6.87293E-07  1.79773E-08  1.48886E-10  1.30952E-11  1.08453E-13
  9.750E-02  7.23942E-07  1.73960E-08  1.47306E-10  1.30052E-11  1.10126E-13
  1.000E-01  7.61543E-07  1.68351E-08  1.45722E-10  1.29086E-11  1.11735E-13
  1.250E-01  1.18991E-06  1.22401E-08  1.29937E-10  1.17316E-11  1.24540E-13
  1.500E-01  1.71347E-06  9.10784E-09  1.14981E-10  1.04754E-11  1.32246E-13
  1.750E-01  2.33223E-06  6.95812E-09  1.01458E-10  9.33674E-12  1.36141E-13
