

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     330      4.48155547E-02      4.49270199E-02  i
     340      4.35730299E-02      4.36803262E-02  i
     350      4.23763627E-02      4.24797429E-02  i
     360      4.12228241E-02      4.13225175E-02  i
     370      4.01099320E-02      4.02061476E-02  i
     380      3.90354236E-02      3.91283521E-02  i
     390      3.79972302E-02      3.80870462E-02  i
     400      3.69934566E-02      3.70803201E-02  i
     410      3.60223616E-02      3.61064199E-02  i
     420      3.50823425E-02      3.51637313E-02  i
     430      3.41719202E-02      3.42507648E-02  i
     440      3.32897268E-02      3.33661431E-02  i
     450      3.24344942E-02      3.25085900E-02  i
     460      3.16050446E-02      3.16769201E-02  i
     470      3.08002817E-02      3.08700301E-02  i
     480      3.00191828E-02      3.00868911E-02  i
     490      2.92607920E-02      2.93265418E-02  i
     500      2.85242142E-02      2.85880817E-02  i
     510      2.78086095E-02      2.78706666E-02  i
     520      2.71131885E-02      2.71735025E-02  i
     530      2.64372076E-02      2.64958422E-02  i
     540      2.57799658E-02      2.58369810E-02  i
     550      2.51408004E-02      2.51962529E-02  i
     560      2.45190843E-02      2.45730278E-02  i
     570      2.39142232E-02      2.39667088E-02  i
     580      2.33256528E-02      2.33767289E-02  i
     590      2.27528369E-02      2.28025495E-02  i
     600      2.21952648E-02      2.22436579E-02  i
     620      2.11239279E-02      2.11698054E-02  i
     640      2.01080062E-02      2.01515211E-02  i
     660      1.91441732E-02      1.91854658E-02  i
     680      1.82293727E-02      1.82685720E-02  i
     700      1.73607856E-02      1.73980109E-02  i
     720      1.65358031E-02      1.65711648E-02  i
     740      1.57520034E-02      1.57856043E-02  i
     760      1.50071320E-02      1.50390680E-02  i
     780      1.42990857E-02      1.43294461E-02  i
     800      1.36258973E-02      1.36547658E-02  i
     820      1.29857241E-02      1.30131793E-02  i
     840      1.23768367E-02      1.24029523E-02  i
     860      1.17976097E-02      1.18224550E-02  i
     880      1.12465135E-02      1.12701539E-02  i
     900      1.07221071E-02      1.07446040E-02  i
     920      1.02230310E-02      1.02444426E-02  i
     940      9.74800239E-03      9.76838346E-03  i
     960      9.29580897E-03      9.31521136E-03  i
     980      8.86530478E-03      8.88377751E-03  i
    1000      8.45540571E-03      8.47299517E-03  i
    1020      8.06508565E-03      8.08183574E-03  i
    1040      7.69337287E-03      7.70932518E-03  i
    1060      7.33934676E-03      7.35454072E-03  i
    1080      7.00213483E-03      7.01660779E-03  i
    1100      6.68090983E-03      6.69469723E-03  i
    1120      6.37488726E-03      6.38802269E-03  i
    1140      6.08332286E-03      6.09583820E-03  i
    1160      5.80551043E-03      5.81743594E-03  i
    1180      5.54077970E-03      5.55214411E-03  i
    1200      5.28849440E-03      5.29932497E-03  i
    1250      4.70833970E-03      4.71794609E-03  i
    1300      4.19363586E-03      4.20216053E-03  i
    1350      3.73678267E-03      3.74435098E-03  i
    1400      3.33108958E-03      3.33781191E-03  i
    1450      2.97066271E-03      2.97663633E-03  i
    1500      2.65030690E-03      2.65561758E-03  i
    1550      2.36544022E-03      2.37016363E-03  i
    1600      2.11201958E-03      2.11622250E-03  i
    1650      1.88647545E-03      1.89021686E-03  i
    1700      1.68565502E-03      1.68898701E-03  i
    1750      1.50677205E-03      1.50974068E-03  i
    1800      1.34736322E-03      1.35000922E-03  i
    1850      1.20524965E-03      1.20760906E-03  i
    1900      1.07850314E-03      1.08060785E-03  i
    1950      9.65416549E-04      9.67294797E-04  i
    2000      8.64477761E-04      8.66154576E-04  i
    2050      7.74346791E-04      7.75844352E-04  i
    2100      6.93835624E-04      6.95173602E-04  i
    2150      6.21890505E-04      6.23086349E-04  i
    2200      5.57576335E-04      5.58645535E-04  i
    2250      5.00062935E-04      5.01019245E-04  i
    2300      4.48612939E-04      4.49468579E-04  i
    2350      4.02571127E-04      4.03336957E-04  i
    2400      3.61355007E-04      3.62040684E-04  i
    2450      3.24446518E-04      3.25060633E-04  i
    2500      2.91384701E-04      2.91934900E-04  i
    2550      2.61759228E-04      2.62252319E-04  i
    2600      2.35204686E-04      2.35646731E-04  i
    2650      2.11395526E-04      2.11791929E-04  i
    2700      1.90041575E-04      1.90397154E-04  i
    2750      1.70884117E-04      1.71203166E-04  i
    2800      1.53692367E-04      1.53978719E-04  i
    2850      1.38260380E-04      1.38517456E-04  i
    2900      1.24404306E-04      1.24635158E-04  i
    2950      1.11959955E-04      1.12167314E-04  i
    3000      1.00780651E-04      1.00966953E-04  i
    3100      8.17067107E-05      8.18572087E-05  i
    3200      6.62915279E-05      6.64132144E-05  i
    3300      5.38220136E-05      5.39204917E-05  i
    3400      4.37266428E-05      4.38064044E-05  i
    3500      3.55467687E-05      3.56114224E-05  i
    3600      2.89138767E-05      2.89663227E-05  i
    3700      2.35315192E-05      2.35740926E-05  i
    3800      1.91609475E-05      1.91955294E-05  i
    3900      1.56096836E-05      1.56377916E-05  i
    4000      1.27223923E-05      1.27452520E-05  i
    4100      1.03735923E-05      1.03921938E-05  i
    4200      8.46182750E-06      8.47697168E-06  i
