 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  2.02271E-07  4.13270E-09  1.20199E-11  2.45586E-13
  8.000E-03  4.87388E-09  2.02157E-07  4.13224E-09  1.24006E-11  2.53480E-13
  8.250E-03  5.18326E-09  2.02039E-07  4.13176E-09  1.27806E-11  2.61371E-13
  8.500E-03  5.50215E-09  2.01917E-07  4.13127E-09  1.31600E-11  2.69259E-13
  8.750E-03  5.83057E-09  2.01792E-07  4.13077E-09  1.35387E-11  2.77145E-13
  9.000E-03  6.16850E-09  2.01664E-07  4.13025E-09  1.39166E-11  2.85028E-13
  9.250E-03  6.51596E-09  2.01532E-07  4.12972E-09  1.42938E-11  2.92907E-13
  9.500E-03  6.87293E-09  2.01396E-07  4.12917E-09  1.46703E-11  3.00784E-13
  9.750E-03  7.23942E-09  2.01258E-07  4.12861E-09  1.50460E-11  3.08657E-13
  1.000E-02  7.61544E-09  2.01115E-07  4.12803E-09  1.54209E-11  3.16527E-13
  1.250E-02  1.18991E-08  1.99507E-07  4.12147E-09  1.91220E-11  3.95030E-13
  1.500E-02  1.71347E-08  1.97574E-07  4.11348E-09  2.27240E-11  4.73117E-13
  1.750E-02  2.33223E-08  1.95333E-07  4.10408E-09  2.62107E-11  5.50709E-13
  2.000E-02  3.04617E-08  1.92804E-07  4.09329E-09  2.95673E-11  6.27727E-13
  2.250E-02  3.85531E-08  1.90010E-07  4.08114E-09  3.27812E-11  7.04096E-13
  2.500E-02  4.75965E-08  1.86974E-07  4.06764E-09  3.58415E-11  7.79741E-13
  2.750E-02  5.75917E-08  1.83720E-07  4.05283E-09  3.87395E-11  8.54593E-13
  3.000E-02  6.85389E-08  1.80273E-07  4.03675E-09  4.14684E-11  9.28583E-13
  3.250E-02  8.04380E-08  1.76658E-07  4.01941E-09  4.40233E-11  1.00165E-12
  3.500E-02  9.32891E-08  1.72900E-07  4.00087E-09  4.64012E-11  1.07372E-12
  3.750E-02  1.07092E-07  1.69024E-07  3.98115E-09  4.86009E-11  1.14474E-12
  4.000E-02  1.21847E-07  1.65052E-07  3.96030E-09  5.06228E-11  1.21466E-12
  4.250E-02  1.37554E-07  1.61008E-07  3.93836E-09  5.24687E-11  1.28343E-12
  4.500E-02  1.54213E-07  1.56911E-07  3.91537E-09  5.41416E-11  1.35099E-12
  4.750E-02  1.71823E-07  1.52783E-07  3.89137E-09  5.56459E-11  1.41731E-12
  5.000E-02  1.90386E-07  1.48641E-07  3.86641E-09  5.69866E-11  1.48233E-12
  5.250E-02  2.09900E-07  1.44502E-07  3.84053E-09  5.81698E-11  1.54603E-12
  5.500E-02  2.30367E-07  1.40381E-07  3.81378E-09  5.92021E-11  1.60837E-12
  5.750E-02  2.51785E-07  1.36292E-07  3.78622E-09  6.00904E-11  1.66933E-12
  6.000E-02  2.74156E-07  1.32248E-07  3.75787E-09  6.08422E-11  1.72887E-12
  6.250E-02  2.97478E-07  1.28258E-07  3.72880E-09  6.14652E-11  1.78697E-12
  6.500E-02  3.21752E-07  1.24332E-07  3.69905E-09  6.19671E-11  1.84362E-12
  6.750E-02  3.46978E-07  1.20478E-07  3.66866E-09  6.23557E-11  1.89880E-12
  7.000E-02  3.73156E-07  1.16702E-07  3.63769E-09  6.26388E-11  1.95250E-12
  7.250E-02  4.00286E-07  1.13011E-07  3.60617E-09  6.28239E-11  2.00472E-12
  7.500E-02  4.28368E-07  1.09408E-07  3.57416E-09  6.29184E-11  2.05543E-12
  7.750E-02  4.57402E-07  1.05898E-07  3.54170E-09  6.29296E-11  2.10466E-12
  8.000E-02  4.87388E-07  1.02482E-07  3.50883E-09  6.28643E-11  2.15239E-12
  8.250E-02  5.18325E-07  9.91633E-08  3.47560E-09  6.27293E-11  2.19863E-12
  8.500E-02  5.50215E-07  9.59422E-08  3.44205E-09  6.25308E-11  2.24339E-12
  8.750E-02  5.83057E-07  9.28194E-08  3.40822E-09  6.22748E-11  2.28668E-12
  9.000E-02  6.16850E-07  8.97951E-08  3.37415E-09  6.19670E-11  2.32850E-12
  9.250E-02  6.51596E-07  8.68687E-08  3.33988E-09  6.16128E-11  2.36887E-12
  9.500E-02  6.87293E-07  8.40394E-08  3.30545E-09  6.12171E-11  2.40782E-12
  9.750E-02  7.23942E-07  8.13060E-08  3.27089E-09  6.07845E-11  2.44534E-12
  1.000E-01  7.61543E-07  7.86669E-08  3.23624E-09  6.03196E-11  2.48148E-12
  1.250E-01  1.18991E-06  5.70050E-08  2.89142E-09  5.46373E-11  2.77135E-12
  1.500E-01  1.71347E-06  4.22534E-08  2.56565E-09  4.85982E-11  2.95093E-12
  1.750E-01  2.33223E-06  3.22069E-08  2.27243E-09  4.32170E-11  3.04930E-12
  2.000E-01  3.04617E-06  2.52512E-08  2.01623E-09  3.87240E-11  3.09202E-12
  2.250E-01  3.85531E-06  2.03191E-08  1.79606E-09  3.50555E-11  3.09868E-12
  2.500E-01  4.75964E-06  1.67280E-08  1.60833E-09  3.20668E-11  3.08310E-12
  2.750E-01  5.75916E-06  1.40431E-08  1.44852E-09  2.96119E-11  3.05445E-12
  3.000E-01  6.85388E-06  1.19846E-08  1.31219E-09  2.75687E-11  3.01851E-12
  3.250E-01  8.04378E-06  1.03698E-08  1.19532E-09  2.58420E-11  2.97880E-12
  3.500E-01  9.32888E-06  9.07682E-09  1.09451E-09  2.43599E-11  2.93742E-12
  3.750E-01  1.07092E-05  8.02268E-09  1.00697E-09  2.30688E-11  2.89552E-12
  4.000E-01  1.21846E-05  7.14963E-09  9.30417E-10  2.19290E-11  2.85375E-12
  4.250E-01  1.37553E-05  6.41663E-09  8.63008E-10  2.09109E-11  2.81244E-12
  4.500E-01  1.54212E-05  5.79388E-09  8.03268E-10  1.99922E-11  2.77175E-12
  4.750E-01  1.71822E-05  5.25936E-09  7.50002E-10  1.91560E-11  2.73173E-12
  5.000E-01  1.90385E-05  4.79648E-09  7.02246E-10  1.83896E-11  2.69241E-12
  5.250E-01  2.09899E-05  4.39249E-09  6.59213E-10  1.76828E-11  2.65380E-12
  5.500E-01  2.30365E-05  4.03750E-09  6.20256E-10  1.70277E-11  2.61588E-12
  5.750E-01  2.51783E-05  3.72367E-09  5.84842E-10  1.64181E-11  2.57865E-12
  6.000E-01  2.74153E-05  3.44474E-09  5.52528E-10  1.58486E-11  2.54209E-12
  6.250E-01  2.97475E-05  3.19564E-09  5.22940E-10  1.53152E-11  2.50622E-12
  6.500E-01  3.21749E-05  2.97220E-09  4.95764E-10  1.48142E-11  2.47102E-12
  6.750E-01  3.46974E-05  2.77100E-09  4.70731E-10  1.43426E-11  2.43650E-12
  7.000E-01  3.73152E-05  2.58917E-09  4.47613E-10  1.38978E-11  2.40265E-12
  7.250E-01  4.00281E-05  2.42430E-09  4.26211E-10  1.34776E-11  2.36948E-12
  7.500E-01  4.28362E-05  2.27435E-09  4.06352E-10  1.30800E-11  2.33699E-12
  7.750E-01  4.57395E-05  2.13759E-09  3.87888E-10  1.27033E-11  2.30516E-12
  8.000E-01  4.87380E-05  2.01253E-09  3.70688E-10  1.23459E-11  2.27401E-12
  8.250E-01  5.18317E-05  1.89787E-09  3.54635E-10  1.20065E-11  2.24352E-12
