1,-0.0197,46.658,-135.793,0.05,15.027,-40.675,15.264,4.37,0.52,4.6
2,-0.3041,15.786,195.533,0.04,12.571,3.383,5.91,7.36,1.12,0.65
3,-0.1391,298.736,-2077.247,0.07,12.166,2.212,3.034,6.48,1.62,1.46
4,-0.0592,192.903,-816.409,0.1,12.165,2.202,2.235,4.56,1.21,1.04
5,0.0145,163.483,-557.029,0.125,12.395,2.771,2.538,5.29,1.48,1.5
6,-0.001,142.681,-465.65,0.1,7.22,2.774,1.656,6.98,1.77,0.71
7,-0.0941,140.26,-394.998,0.1,5.809,2.392,1.211,3.45,0.74,0.72
8,-0.0055,116.887,-267.197,0.07,3.825,2.003,0.983,7.21,1.72,1.21
9,-0.1036,104.404,-214.004,0.09,2.807,0.984,1.166,7.8,2.45,1.77
10,-0.0652,94.148,-191.236,0.09,24.538,9.492,2.387,5.9,1.53,1.88
11,-0.0493,381.537,-2407.05,0.07,24.539,10.001,2.041,4.77,1.51,1.51
12,-0.107,438.065,-2400.246,0.07,5.055,10.602,1.797,3.81,1.49,1.32
13,-0.0027,424.21,-2113.027,0.07,5.365,9.462,1.451,4.96,1.57,1.05
14,-0.0997,388.077,-1733.065,0.07,5.364,9.477,1.352,5.25,1.54,1.07
15,-0.1516,348.832,-1396.561,0.05,5.278,9.773,1.162,2.83,1.13,0.81
16,-0.185,328.591,-1275.664,0.05,5.653,9.623,1.101,5.01,1.85,1.73
17,-0.094,319.8,-1258.893,0.07,5.499,9.473,1.285,5.92,1.87,1.79
18,-0.0339,305.636,-1137.527,0.07,6.077,9.313,1.171,6.74,2.05,1.54
19,0.007,290.305,-1143.635,0.07,6.776,9.202,1.074,7.47,2.11,1.5
20,0.0045,272.077,-1184.293,0.07,6.076,9.301,1.272,4.49,1.31,1.2
21,-0.0567,258.9,-1218.874,0.07,5.684,9.198,1.179,5.21,1.79,1.25
22,-0.0544,244.686,-1309.02,0.05,4.638,8.696,0.966,6.33,2.03,1.39
23,-0.0202,233.511,-1399.175,0.05,4.638,8.691,0.868,6.72,2.01,1.49
24,-0.0065,223.651,-1459.104,0.05,3.803,8.594,0.783,7.24,1.65,1.21
25,0.0043,212.953,-1508.553,0.04,3.381,8.483,0.702,8.64,1.94,1.18
26,0.0629,203.503,-1598.614,0.04,3.808,8.361,0.629,9.56,2.1,1.31
27,0.1297,194.293,-1668.296,0.05,3.678,8.251,0.567,10.48,1.78,1.44
28,0.1329,185.371,-1748.186,0.04,3.677,8.142,0.51,11.41,1.85,1.6
29,-0.0061,391.062,-1717.878,0.07,0.392,20.78,1.608,6.04,1.23,0.36
30,-0.0289,457.749,-2066.283,0.07,0.345,22.227,1.482,9.88,1.68,0.4
31,-0.0107,475.219,-2135.928,0.07,0.365,22.376,1.465,5.32,0.87,0.27
32,-0.0027,454.054,-1878.231,0.09,0.381,22.103,1.47,4.39,0.72,0.2
33,-0.015,436.395,-1737.722,0.09,0.406,21.804,1.51,6.28,1.07,0.21
34,-0.0034,398.44,-1256.156,0.04,0.448,22.226,1.603,5.14,1.07,0.34
35,-0.0136,387.307,-1256.884,0.05,0.495,19.718,1.762,5.31,1.4,0.34
36,-0.0058,369.16,-1175.85,0.1,0.489,18.319,1.751,4.11,1.11,0.46
37,-0.0402,887.728,-6984.753,0.04,0.455,22.16,1.599,5.76,1.6,0.39
38,-0.0063,1006.909,-6947.309,0.05,0.456,21.177,1.586,5.71,0.84,0.36
39,-0.0421,979.206,-6341.764,0.05,0.482,19.672,1.709,6.75,1.19,0.39
40,-0.0573,935.639,-5744.201,0.05,0.496,18.807,1.816,6.66,1.34,0.4
41,-0.0449,760.984,-4310.872,0.05,0.488,19.649,1.842,7.37,1.23,0.4
42,-0.0473,722.571,-3936.302,0.05,0.473,20.688,1.803,8.16,1.32,0.38
43,-0.0416,791.705,-4074.343,0.03,0.473,21.632,1.829,6.1,1.27,0.36
44,-0.0961,613.128,-2304.286,0.04,0.294,31.122,1.386,3.11,1.32,0.66
45,-0.3292,618.716,-2945.652,0.05,0.294,31.122,1.386,3.4,1.05,0.63
46,-0.1438,420.385,-1322.242,0.1,0.395,24.386,1.617,3.25,0.76,0.37
47,0.007,556.313,-2436.547,0.07,0.411,24.874,1.646,5.15,0.85,0.33
48,-0.2189,644.889,-2969.654,0.07,0.455,22.41,1.725,3.2,0.88,0.65
49,-0.4304,679.343,-3186.124,0.04,0.393,27.857,1.566,3.27,0.62,0.29
50,-0.2109,651.565,-2842.961,0.07,0.397,25.519,1.563,5.36,1.23,0.36
