 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  N,  Z =   7,  atomic weight = 1.40067E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.57926E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  7
 #
 # Electron density: Read from file z_007.den   
 #                   Number of data points =  701
 #                   Volume integral = 7.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.64241E-19 cm**2 = 9.43623E-03 a0**2
 # 1st transport cross section = 4.39991E-24 cm**2 = 1.57123E-07 a0**2
 # 2nd transport cross section = 1.26041E-23 cm**2 = 4.50100E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.000E-03  2.74156E-09  3.28028E-14  1.17141E+03  0.00000E+00  1.0E-07
  6.250E-03  2.97478E-09  3.27812E-14  1.17064E+03  0.00000E+00  1.0E-07
  6.500E-03  3.21752E-09  3.27587E-14  1.16983E+03  0.00000E+00  1.0E-07
  6.750E-03  3.46978E-09  3.27353E-14  1.16900E+03  0.00000E+00  1.0E-07
  7.000E-03  3.73156E-09  3.27110E-14  1.16813E+03  0.00000E+00  1.0E-07
  7.250E-03  4.00286E-09  3.26859E-14  1.16724E+03  0.00000E+00  1.0E-07
  7.500E-03  4.28368E-09  3.26600E-14  1.16631E+03  0.00000E+00  1.0E-07
  7.750E-03  4.57402E-09  3.26332E-14  1.16535E+03  0.00000E+00  1.0E-07
  8.000E-03  4.87388E-09  3.26055E-14  1.16436E+03  0.00000E+00  1.0E-07
  8.250E-03  5.18326E-09  3.25770E-14  1.16335E+03  0.00000E+00  1.0E-07
  8.500E-03  5.50215E-09  3.25477E-14  1.16230E+03  0.00000E+00  1.0E-07
  8.750E-03  5.83057E-09  3.25175E-14  1.16122E+03  0.00000E+00  1.0E-07
  9.000E-03  6.16850E-09  3.24865E-14  1.16012E+03  0.00000E+00  1.0E-07
  9.250E-03  6.51596E-09  3.24547E-14  1.15898E+03  0.00000E+00  1.0E-07
  9.500E-03  6.87293E-09  3.24221E-14  1.15781E+03  0.00000E+00  1.0E-07
  9.750E-03  7.23942E-09  3.23886E-14  1.15662E+03  0.00000E+00  1.0E-07
  1.000E-02  7.61544E-09  3.23543E-14  1.15539E+03  0.00000E+00  1.0E-07
  1.250E-02  1.18991E-08  3.19673E-14  1.14157E+03  0.00000E+00  1.0E-07
  1.500E-02  1.71347E-08  3.15033E-14  1.12500E+03  0.00000E+00  1.0E-07
  1.750E-02  2.33223E-08  3.09674E-14  1.10587E+03  0.00000E+00  1.0E-07
  2.000E-02  3.04617E-08  3.03651E-14  1.08436E+03  0.00000E+00  1.0E-07
  2.250E-02  3.85531E-08  2.97028E-14  1.06070E+03  0.00000E+00  1.0E-07
  2.500E-02  4.75965E-08  2.89868E-14  1.03514E+03  0.00000E+00  1.0E-07
  2.750E-02  5.75917E-08  2.82239E-14  1.00789E+03  0.00000E+00  1.0E-07
  3.000E-02  6.85389E-08  2.74211E-14  9.79226E+02  0.00000E+00  1.0E-07
  3.250E-02  8.04380E-08  2.65852E-14  9.49374E+02  0.00000E+00  1.0E-07
  3.500E-02  9.32891E-08  2.57229E-14  9.18581E+02  0.00000E+00  1.0E-07
  3.750E-02  1.07092E-07  2.48407E-14  8.87079E+02  0.00000E+00  1.0E-07
  4.000E-02  1.21847E-07  2.39450E-14  8.55090E+02  0.00000E+00  1.0E-07
  4.250E-02  1.37554E-07  2.30414E-14  8.22825E+02  0.00000E+00  1.0E-07
  4.500E-02  1.54213E-07  2.21356E-14  7.90477E+02  0.00000E+00  1.0E-07
  4.750E-02  1.71823E-07  2.12325E-14  7.58226E+02  0.00000E+00  1.0E-07
  5.000E-02  1.90386E-07  2.03366E-14  7.26232E+02  0.00000E+00  1.0E-07
  5.250E-02  2.09900E-07  1.94519E-14  6.94641E+02  0.00000E+00  1.0E-07
  5.500E-02  2.30367E-07  1.85821E-14  6.63578E+02  0.00000E+00  1.0E-07
  5.750E-02  2.51785E-07  1.77301E-14  6.33155E+02  0.00000E+00  1.0E-07
  6.000E-02  2.74156E-07  1.68987E-14  6.03463E+02  0.00000E+00  1.0E-07
