

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     330      4.28696580E-02      4.29673110E-02  i
     340      4.17810461E-02      4.18750568E-02  i
     350      4.07324408E-02      4.08230394E-02  i
     360      3.97213541E-02      3.98087498E-02  i
     370      3.87455233E-02      3.88299066E-02  i
     380      3.78028862E-02      3.78844308E-02  i
     390      3.68915595E-02      3.69704243E-02  i
     400      3.60098196E-02      3.60861500E-02  i
     410      3.51560858E-02      3.52300154E-02  i
     420      3.43289059E-02      3.44005575E-02  i
     430      3.35269430E-02      3.35964296E-02  i
     440      3.27489639E-02      3.28163901E-02  i
     450      3.19938293E-02      3.20592918E-02  i
     460      3.12604846E-02      3.13240727E-02  i
     470      3.05479515E-02      3.06097483E-02  i
     480      2.98553215E-02      2.99154042E-02  i
     490      2.91817488E-02      2.92401895E-02  i
     500      2.85264452E-02      2.85833109E-02  i
     510      2.78886745E-02      2.79440279E-02  i
     520      2.72677482E-02      2.73216480E-02  i
     530      2.66630211E-02      2.67155223E-02  i
     540      2.60738878E-02      2.61250422E-02  i
     550      2.54997794E-02      2.55496355E-02  i
     560      2.49401601E-02      2.49887638E-02  i
     570      2.43945250E-02      2.44419194E-02  i
     580      2.38623971E-02      2.39086232E-02  i
     590      2.33433256E-02      2.33884219E-02  i
     600      2.28368835E-02      2.28808866E-02  i
     620      2.18602881E-02      2.19022074E-02  i
     640      2.09296078E-02      2.09695690E-02  i
     660      2.00421208E-02      2.00802381E-02  i
     680      1.91953485E-02      1.92317262E-02  i
     700      1.83870232E-02      1.84217568E-02  i
     720      1.76150610E-02      1.76482385E-02  i
     740      1.68775399E-02      1.69092427E-02  i
     760      1.61726802E-02      1.62029837E-02  i
     780      1.54988288E-02      1.55278032E-02  i
     800      1.48544453E-02      1.48821560E-02  i
     820      1.42380903E-02      1.42645985E-02  i
     840      1.36484155E-02      1.36737788E-02  i
     860      1.30841550E-02      1.31084273E-02  i
     880      1.25441177E-02      1.25673498E-02  i
     900      1.20271809E-02      1.20494209E-02  i
     920      1.15322848E-02      1.15535780E-02  i
     940      1.10584271E-02      1.10788162E-02  i
     960      1.06046586E-02      1.06241844E-02  i
     980      1.01700798E-02      1.01887808E-02  i
    1000      9.75383695E-03      9.77174977E-03  i
    1020      9.35511902E-03      9.37227839E-03  i
    1040      8.97315499E-03      8.98959398E-03  i
    1060      8.60721125E-03      8.62296136E-03  i
    1080      8.25658938E-03      8.27168056E-03  i
    1100      7.92062396E-03      7.93508478E-03  i
    1120      7.59868074E-03      7.61253845E-03  i
    1140      7.29015489E-03      7.30343545E-03  i
    1160      6.99446933E-03      7.00719754E-03  i
    1180      6.71107330E-03      6.72327282E-03  i
    1200      6.43944096E-03      6.45113438E-03  i
    1250      5.80858540E-03      5.81910593E-03  i
    1300      5.24091965E-03      5.25038781E-03  i
    1350      4.72996283E-03      4.73848636E-03  i
    1400      4.26991982E-03      4.27759509E-03  i
    1450      3.85560420E-03      3.86251748E-03  i
    1500      3.48237116E-03      3.48859976E-03  i
    1550      3.14605872E-03      3.15167191E-03  i
    1600      2.84293584E-03      2.84799574E-03  i
    1650      2.56965653E-03      2.57421885E-03  i
    1700      2.32321918E-03      2.32733391E-03  i
    1750      2.10093024E-03      2.10464224E-03  i
    1800      1.90037201E-03      1.90372156E-03  i
    1850      1.71937382E-03      1.72239708E-03  i
    1900      1.55598630E-03      1.55871575E-03  i
    1950      1.40845837E-03      1.41092319E-03  i
    2000      1.27521674E-03      1.27744316E-03  i
    2050      1.15484750E-03      1.15685908E-03  i
    2100      1.04607965E-03      1.04789758E-03  i
    2150      9.47770404E-04      9.49413734E-04  i
    2200      8.58891976E-04      8.60377845E-04  i
    2250      7.78519798E-04      7.79863624E-04  i
    2300      7.05821933E-04      7.07037593E-04  i
    2350      6.40049612E-04      6.41149595E-04  i
    2400      5.80528740E-04      5.81524292E-04  i
    2450      5.26652295E-04      5.27553544E-04  i
    2500      4.77873510E-04      4.78689580E-04  i
    2550      4.33699764E-04      4.34438877E-04  i
    2600      3.93687101E-04      3.94356668E-04  i
    2650      3.57435321E-04      3.58042022E-04  i
    2700      3.24583564E-04      3.25133424E-04  i
    2750      2.94806375E-04      2.95304829E-04  i
    2800      2.67810109E-04      2.68262060E-04  i
    2850      2.43329806E-04      2.43739680E-04  i
    2900      2.21126294E-04      2.21498087E-04  i
    2950      2.00983636E-04      2.01320954E-04  i
    3000      1.82706817E-04      1.83012921E-04  i
    3100      1.51063011E-04      1.51315233E-04  i
    3200      1.24979461E-04      1.25187445E-04  i
    3300      1.03462915E-04      1.03634548E-04  i
    3400      8.57007925E-05      8.58425280E-05  i
    3500      7.10277331E-05      7.11448602E-05  i
    3600      5.88983328E-05      5.89951873E-05  i
    3700      4.88651818E-05      4.89453233E-05  i
    3800      4.05608521E-05      4.06272048E-05  i
    3900      3.36833864E-05      3.37383542E-05  i
    4000      2.79844013E-05      2.80299630E-05  i
    4100      2.32593883E-05      2.32971736E-05  i
    4200      1.93398758E-05      1.93712275E-05  i
    4300      1.60869463E-05      1.61129724E-05  i
    4400      1.33859714E-05      1.34075865E-05  i
    4500      1.11422835E-05      1.11602430E-05  i
    4600      9.27767193E-06      9.29260034E-06  i
    4700      7.72746675E-06      7.73988047E-06  i
    4800      6.43815495E-06      6.44848144E-06  i
    4900      5.36544073E-06      5.37403389E-06  i
    5000      4.47262356E-06      4.47977696E-06  i
    5100      3.72929303E-06      3.73524960E-06  i
    5200      3.11022422E-06      3.11518574E-06  i
    5300      2.59449430E-06      2.59862832E-06  i
    5400      2.16473120E-06      2.16817651E-06  i
    5500      1.80651198E-06      1.80938423E-06  i
    5600      1.50785168E-06      1.51024667E-06  i
    5700      1.25878554E-06      1.26078304E-06  i
    5800      1.05103529E-06      1.05270157E-06  i
    5900      8.77709636E-07      8.79099987E-07  i
    6000      7.33073896E-07      7.34234161E-07  i
    6100      6.12334760E-07      6.13303310E-07  i
    6200      5.11563703E-07      5.12372170E-07  i
    6300      4.27421334E-07      4.28096509E-07  i
    6400      3.57194844E-07      3.57758766E-07  i
    6500      2.98476463E-07      2.98947334E-07  i
    6600      2.49464035E-07      2.49857338E-07  i
    6700      2.08518885E-07      2.08847567E-07  i
    6800      1.74296212E-07      1.74570878E-07  i
    6900      1.45709767E-07      1.45939273E-07  i
    7000      1.21819910E-07      1.22011722E-07  i
    7100      1.01853092E-07      1.02013354E-07  i
    7200      8.51632792E-08      8.52973491E-08  i
    7300      7.11914550E-08      7.13034720E-08  i
    7400      5.95269275E-08      5.96204443E-08  i
    7500      4.97741965E-08      4.98525989E-08  i
    7600      4.16191828E-08      4.16846955E-08  i
    7700      3.47994719E-08      3.48541654E-08  i
    7800      2.90691670E-08      2.91150617E-08  i
    7900      2.42987738E-08      2.43371309E-08  i
    8000      2.03085590E-08      2.03406199E-08  i
    8100      1.69706168E-08      1.69974225E-08  i
    8200      1.41778659E-08      1.42002866E-08  i
    8300      1.18414335E-08      1.18601905E-08  i
    8400      9.84552238E-09      9.86144101E-09  i
    8500      8.20809230E-09      8.22139921E-09  i
    8600      6.83794455E-09      6.84898435E-09  i
    8700      5.69018440E-09      5.69937073E-09  i
    8800      4.72810800E-09      4.73602535E-09  i
    8900      3.92267756E-09      3.92931265E-09  i
    9000      3.24696979E-09      3.25259572E-09  i
    9100      2.67935128E-09      2.68409548E-09  i
    9200      2.12750840E-09      2.13127460E-09  i
    9300      1.71997348E-09      1.72293612E-09  i
    9400      1.37489544E-09      1.37827100E-09  i
    9500      1.08164173E-09      1.08397372E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.30591E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 3.30590E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 1.394E-13, 3.422E-15)  1.00E-07
  1.250E-04 3.30590E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 1.742E-13, 4.278E-15)  1.00E-07
  1.500E-04 3.30589E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 2.091E-13, 5.133E-15)  1.00E-07
  1.750E-04 3.30589E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 2.439E-13, 5.989E-15)  1.00E-07
  2.000E-04 3.30588E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 2.787E-13, 6.844E-15)  1.00E-07
  2.250E-04 3.30587E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 3.136E-13, 7.700E-15)  1.00E-07
  2.500E-04 3.30587E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 3.484E-13, 8.555E-15)  1.00E-07
  2.750E-04 3.30586E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 3.833E-13, 9.411E-15)  1.00E-07
  3.000E-04 3.30585E-14  0.000E+00 ( 1.818E-07, 4.463E-09) ( 4.181E-13, 1.027E-14)  1.00E-07
