

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     310      2.07373732E-01      2.07966012E-01  i
     320      2.00818734E-01      2.01381413E-01  i
     330      1.94586352E-01      1.95121699E-01  i
     340      1.88652033E-01      1.89162114E-01  i
     350      1.82993446E-01      1.83480140E-01  i
     360      1.77590295E-01      1.78055308E-01  i
     370      1.72424141E-01      1.72869023E-01  i
     380      1.67478245E-01      1.67904403E-01  i
     390      1.62737419E-01      1.63146129E-01  i
     400      1.58187887E-01      1.58580306E-01  i
     410      1.53817158E-01      1.54194335E-01  i
     420      1.49613905E-01      1.49976792E-01  i
     430      1.45567856E-01      1.45917317E-01  i
     440      1.41669694E-01      1.42006510E-01  i
     450      1.37910955E-01      1.38235840E-01  i
     460      1.34283952E-01      1.34597551E-01  i
     470      1.30781687E-01      1.31084589E-01  i
     480      1.27397782E-01      1.27690524E-01  i
     490      1.24126413E-01      1.24409488E-01  i
     500      1.20962253E-01      1.21236109E-01  i
     510      1.17900411E-01      1.18165462E-01  i
     520      1.14936390E-01      1.15193017E-01  i
     530      1.12066041E-01      1.12314595E-01  i
     540      1.09285523E-01      1.09526331E-01  i
     550      1.06591271E-01      1.06824636E-01  i
     560      1.03979963E-01      1.04206167E-01  i
     570      1.01448492E-01      1.01667799E-01  i
     580      9.89939430E-02      9.92066041E-02  i
     590      9.66135741E-02      9.68198231E-02  i
     600      9.43047934E-02      9.45048523E-02  i
     620      8.98922963E-02      9.00805972E-02  i
     640      8.57381948E-02      8.59155040E-02  i
     660      8.18258185E-02      8.19928391E-02  i
     680      7.81398037E-02      7.82971865E-02  i
     700      7.46658857E-02      7.48142366E-02  i
     720      7.13907449E-02      7.15306307E-02  i
     740      6.83018935E-02      6.84338468E-02  i
     760      6.53875928E-02      6.55121144E-02  i
     780      6.26367915E-02      6.27543532E-02  i
     800      6.00390783E-02      6.01501246E-02  i
     820      5.75846461E-02      5.76895957E-02  i
     840      5.52642615E-02      5.53635083E-02  i
     860      5.30692397E-02      5.31631540E-02  i
     880      5.09914210E-02      5.10803506E-02  i
     900      4.90231494E-02      4.91074204E-02  i
     920      4.71572513E-02      4.72371690E-02  i
     940      4.53870146E-02      4.54628645E-02  i
     960      4.37061679E-02      4.37782164E-02  i
     980      4.21088591E-02      4.21773549E-02  i
    1000      4.05896346E-02      4.06548093E-02  i
    1020      3.91434181E-02      3.92054870E-02  i
    1040      3.77654896E-02      3.78246528E-02  i
    1060      3.64514648E-02      3.65079082E-02  i
    1080      3.51972745E-02      3.52511706E-02  i
    1100      3.39991453E-02      3.40506538E-02  i
    1120      3.28535798E-02      3.29028490E-02  i
    1140      3.17573385E-02      3.18045053E-02  i
    1160      3.07074216E-02      3.07526132E-02  i
    1180      2.97010527E-02      2.97443865E-02  i
    1200      2.87356621E-02      2.87772469E-02  i
    1250      2.64862916E-02      2.65239281E-02  i
    1300      2.44460726E-02      2.44802807E-02  i
    1350      2.25881115E-02      2.26193212E-02  i
    1400      2.08901437E-02      2.09187115E-02  i
    1450      1.93336512E-02      1.93598745E-02  i
