

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     320      4.08585372E-02      4.09454993E-02  i
     330      3.98901221E-02      3.99736799E-02  i
     340      3.89590194E-02      3.90394008E-02  i
     350      3.80627664E-02      3.81401785E-02  i
     360      3.71991230E-02      3.72737543E-02  i
     370      3.63660476E-02      3.64380702E-02  i
     380      3.55616762E-02      3.56312472E-02  i
     390      3.47843034E-02      3.48515668E-02  i
     400      3.40323665E-02      3.40974541E-02  i
     410      3.33044311E-02      3.33674643E-02  i
     420      3.25991785E-02      3.26602687E-02  i
     430      3.19153943E-02      3.19746443E-02  i
     440      3.12519586E-02      3.13094633E-02  i
     450      3.06078373E-02      3.06636843E-02  i
     460      2.99820736E-02      3.00363441E-02  i
     470      2.93737816E-02      2.94265508E-02  i
     480      2.87821395E-02      2.88334771E-02  i
     490      2.82063839E-02      2.82563548E-02  i
     500      2.76458051E-02      2.76944697E-02  i
     510      2.70997420E-02      2.71471564E-02  i
     520      2.65675781E-02      2.66137949E-02  i
     530      2.60487378E-02      2.60938060E-02  i
     540      2.55426831E-02      2.55866486E-02  i
     550      2.50489102E-02      2.50918159E-02  i
     560      2.45669470E-02      2.46088332E-02  i
     570      2.40963504E-02      2.41372549E-02  i
     580      2.36367041E-02      2.36766625E-02  i
     590      2.31876163E-02      2.32266620E-02  i
     600      2.27487181E-02      2.27868828E-02  i
     620      2.19001180E-02      2.19366082E-02  i
     640      2.10883444E-02      2.11232667E-02  i
     660      2.03111049E-02      2.03445548E-02  i
     680      1.95663363E-02      1.95984002E-02  i
     700      1.88521738E-02      1.88829299E-02  i
     720      1.81669245E-02      1.81964438E-02  i
     740      1.75090446E-02      1.75373920E-02  i
     760      1.68771210E-02      1.69043561E-02  i
     780      1.62698546E-02      1.62960324E-02  i
     800      1.56860475E-02      1.57112185E-02  i
     820      1.51245905E-02      1.51488018E-02  i
     840      1.45844533E-02      1.46077486E-02  i
     860      1.40646761E-02      1.40870962E-02  i
     880      1.35643618E-02      1.35859449E-02  i
     900      1.30826700E-02      1.31034519E-02  i
     920      1.26188111E-02      1.26388254E-02  i
