 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  1.62675E-07  4.69779E-09  9.66691E-12  2.79168E-13
  8.000E-03  4.87388E-09  1.62621E-07  4.69749E-09  9.97545E-12  2.88156E-13
  8.250E-03  5.18326E-09  1.62566E-07  4.69719E-09  1.02837E-11  2.97141E-13
  8.500E-03  5.50215E-09  1.62509E-07  4.69688E-09  1.05916E-11  3.06125E-13
  8.750E-03  5.83057E-09  1.62450E-07  4.69656E-09  1.08992E-11  3.15108E-13
  9.000E-03  6.16850E-09  1.62390E-07  4.69623E-09  1.12064E-11  3.24088E-13
  9.250E-03  6.51596E-09  1.62328E-07  4.69589E-09  1.15133E-11  3.33066E-13
  9.500E-03  6.87293E-09  1.62264E-07  4.69554E-09  1.18198E-11  3.42042E-13
  9.750E-03  7.23942E-09  1.62199E-07  4.69518E-09  1.21260E-11  3.51017E-13
  1.000E-02  7.61544E-09  1.62132E-07  4.69481E-09  1.24318E-11  3.59989E-13
  1.250E-02  1.18991E-08  1.61372E-07  4.69063E-09  1.54669E-11  4.49585E-13
  1.500E-02  1.71347E-08  1.60453E-07  4.68552E-09  1.84545E-11  5.38915E-13
  1.750E-02  2.33223E-08  1.59379E-07  4.67951E-09  2.13862E-11  6.27927E-13
  2.000E-02  3.04617E-08  1.58157E-07  4.67259E-09  2.42541E-11  7.16570E-13
  2.250E-02  3.85531E-08  1.56794E-07  4.66477E-09  2.70506E-11  8.04792E-13
  2.500E-02  4.75965E-08  1.55297E-07  4.65606E-09  2.97693E-11  8.92545E-13
  2.750E-02  5.75917E-08  1.53673E-07  4.64648E-09  3.24039E-11  9.79780E-13
  3.000E-02  6.85389E-08  1.51932E-07  4.63604E-09  3.49492E-11  1.06645E-12
  3.250E-02  8.04380E-08  1.50082E-07  4.62475E-09  3.74005E-11  1.15250E-12
  3.500E-02  9.32891E-08  1.48131E-07  4.61261E-09  3.97539E-11  1.23790E-12
  3.750E-02  1.07092E-07  1.46089E-07  4.59966E-09  4.20063E-11  1.32260E-12
  4.000E-02  1.21847E-07  1.43964E-07  4.58590E-09  4.41551E-11  1.40655E-12
  4.250E-02  1.37554E-07  1.41767E-07  4.57134E-09  4.61986E-11  1.48972E-12
  4.500E-02  1.54213E-07  1.39504E-07  4.55602E-09  4.81355E-11  1.57206E-12
  4.750E-02  1.71823E-07  1.37186E-07  4.53993E-09  4.99654E-11  1.65354E-12
  5.000E-02  1.90386E-07  1.34820E-07  4.52311E-09  5.16881E-11  1.73412E-12
  5.250E-02  2.09900E-07  1.32415E-07  4.50557E-09  5.33044E-11  1.81376E-12
  5.500E-02  2.30367E-07  1.29979E-07  4.48733E-09  5.48152E-11  1.89244E-12
  5.750E-02  2.51785E-07  1.27518E-07  4.46841E-09  5.62220E-11  1.97012E-12
  6.000E-02  2.74156E-07  1.25041E-07  4.44884E-09  5.75266E-11  2.04677E-12
  6.250E-02  2.97478E-07  1.22553E-07  4.42862E-09  5.87312E-11  2.12237E-12
  6.500E-02  3.21752E-07  1.20061E-07  4.40779E-09  5.98383E-11  2.19688E-12
  6.750E-02  3.46978E-07  1.17570E-07  4.38636E-09  6.08507E-11  2.27028E-12
  7.000E-02  3.73156E-07  1.15086E-07  4.36436E-09  6.17714E-11  2.34256E-12
  7.250E-02  4.00286E-07  1.12614E-07  4.34181E-09  6.26034E-11  2.41369E-12
  7.500E-02  4.28368E-07  1.10159E-07  4.31873E-09  6.33500E-11  2.48364E-12
  7.750E-02  4.57402E-07  1.07724E-07  4.29515E-09  6.40145E-11  2.55242E-12
  8.000E-02  4.87388E-07  1.05312E-07  4.27108E-09  6.46005E-11  2.61999E-12
  8.250E-02  5.18325E-07  1.02929E-07  4.24655E-09  6.51113E-11  2.68634E-12
  8.500E-02  5.50215E-07  1.00575E-07  4.22158E-09  6.55505E-11  2.75147E-12
  8.750E-02  5.83057E-07  9.82545E-08  4.19619E-09  6.59215E-11  2.81537E-12
  9.000E-02  6.16850E-07  9.59690E-08  4.17040E-09  6.62277E-11  2.87801E-12
  9.250E-02  6.51596E-07  9.37206E-08  4.14425E-09  6.64726E-11  2.93941E-12
  9.500E-02  6.87293E-07  9.15109E-08  4.11774E-09  6.66596E-11  2.99954E-12
  9.750E-02  7.23942E-07  8.93414E-08  4.09091E-09  6.67919E-11  3.05842E-12
  1.000E-01  7.61543E-07  8.72131E-08  4.06377E-09  6.68726E-11  3.11602E-12
  1.250E-01  1.18991E-06  6.83174E-08  3.77990E-09  6.54800E-11  3.62295E-12
  1.500E-01  1.71347E-06  5.36343E-08  3.48612E-09  6.16882E-11  4.00965E-12
  1.750E-01  2.33223E-06  4.25040E-08  3.19695E-09  5.70344E-11  4.28991E-12
  2.000E-01  3.04617E-06  3.41247E-08  2.92218E-09  5.23322E-11  4.48138E-12
  2.250E-01  3.85531E-06  2.77972E-08  2.66748E-09  4.79573E-11  4.60214E-12
  2.500E-01  4.75964E-06  2.29781E-08  2.43541E-09  4.40479E-11  4.66863E-12
  2.750E-01  5.75916E-06  1.92651E-08  2.22640E-09  4.06235E-11  4.69476E-12
  3.000E-01  6.85388E-06  1.63669E-08  2.03952E-09  3.76497E-11  4.69169E-12
  3.250E-01  8.04378E-06  1.40736E-08  1.87314E-09  3.50722E-11  4.66803E-12
  3.500E-01  9.32888E-06  1.22342E-08  1.72526E-09  3.28337E-11  4.63024E-12
  3.750E-01  1.07092E-05  1.07393E-08  1.59384E-09  3.08807E-11  4.58308E-12
  4.000E-01  1.21846E-05  9.50925E-09  1.47690E-09  2.91666E-11  4.52995E-12
  4.250E-01  1.37553E-05  8.48509E-09  1.37262E-09  2.76519E-11  4.47326E-12
  4.500E-01  1.54212E-05  7.62307E-09  1.27938E-09  2.63041E-11  4.41469E-12
  4.750E-01  1.71822E-05  6.89025E-09  1.19576E-09  2.50964E-11  4.35537E-12
  5.000E-01  1.90385E-05  6.26153E-09  1.12050E-09  2.40068E-11  4.29607E-12
  5.250E-01  2.09899E-05  5.71762E-09  1.05254E-09  2.30176E-11  4.23729E-12
  5.500E-01  2.30365E-05  5.24350E-09  9.90959E-10  2.21142E-11  4.17936E-12
  5.750E-01  2.51783E-05  4.82737E-09  9.34966E-10  2.12846E-11  4.12246E-12
  6.000E-01  2.74153E-05  4.45984E-09  8.83886E-10  2.05192E-11  4.06669E-12
  6.250E-01  2.97475E-05  4.13340E-09  8.37142E-10  1.98097E-11  4.01212E-12
  6.500E-01  3.21749E-05  3.84195E-09  7.94237E-10  1.91495E-11  3.95877E-12
  6.750E-01  3.46974E-05  3.58052E-09  7.54743E-10  1.85329E-11  3.90661E-12
  7.000E-01  3.73152E-05  3.34501E-09  7.18291E-10  1.79552E-11  3.85565E-12
  7.250E-01  4.00281E-05  3.13203E-09  6.84561E-10  1.74124E-11  3.80584E-12
  7.500E-01  4.28362E-05  2.93871E-09  6.53276E-10  1.69011E-11  3.75716E-12
  7.750E-01  4.57395E-05  2.76268E-09  6.24194E-10  1.64184E-11  3.70957E-12
  8.000E-01  4.87380E-05  2.60188E-09  5.97103E-10  1.59616E-11  3.66305E-12
  8.250E-01  5.18317E-05  2.45459E-09  5.71816E-10  1.55287E-11  3.61756E-12
  8.500E-01  5.50205E-05  2.31932E-09  5.48171E-10  1.51176E-11  3.57307E-12
  8.750E-01  5.83045E-05  2.19478E-09  5.26022E-10  1.47266E-11  3.52955E-12
  9.000E-01  6.16838E-05  2.07986E-09  5.05240E-10  1.43543E-11  3.48698E-12
  9.250E-01  6.51582E-05  1.97360E-09  4.85710E-10  1.39993E-11  3.44532E-12
  9.500E-01  6.87277E-05  1.87514E-09  4.67331E-10  1.36604E-11  3.40456E-12
  9.750E-01  7.23925E-05  1.78373E-09  4.50011E-10  1.33365E-11  3.36466E-12
  1.000E+00  7.61524E-05  1.69872E-09  4.33668E-10  1.30266E-11  3.32561E-12
  1.100E+00  9.21439E-05  1.41198E-09  3.76675E-10  1.19107E-11  3.17746E-12
  1.200E+00  1.09658E-04  1.19100E-09  3.30476E-10  1.09602E-11  3.04122E-12
  1.300E+00  1.28695E-04  1.01727E-09  2.92467E-10  1.01416E-11  2.91577E-12
  1.400E+00  1.49255E-04  8.78333E-10  2.60796E-10  9.43025E-12  2.80005E-12
  1.500E+00  1.71338E-04  7.65585E-10  2.34113E-10  8.80698E-12  2.69315E-12
  1.600E+00  1.94942E-04  6.72902E-10  2.11413E-10  8.25698E-12  2.59419E-12
  1.700E+00  2.20070E-04  5.95840E-10  1.91934E-10  7.76846E-12  2.50241E-12
  1.800E+00  2.46720E-04  5.31113E-10  1.75090E-10  7.33200E-12  2.41711E-12
  1.900E+00  2.74892E-04  4.76247E-10  1.60421E-10  6.93995E-12  2.33768E-12
  2.000E+00  3.04586E-04  4.29355E-10  1.47566E-10  6.58604E-12  2.26356E-12
  2.100E+00  3.35803E-04  3.88977E-10  1.36234E-10  6.26512E-12  2.19426E-12
  2.200E+00  3.68542E-04  3.53971E-10  1.26191E-10  5.97288E-12  2.12933E-12
  2.300E+00  4.02802E-04  3.23432E-10  1.17248E-10  5.70574E-12  2.06838E-12
  2.400E+00  4.38585E-04  2.96636E-10  1.09248E-10  5.46065E-12  2.01108E-12
  2.500E+00  4.75889E-04  2.73001E-10  1.02061E-10  5.23506E-12  1.95709E-12
  2.600E+00  5.14715E-04  2.52052E-10  9.55793E-11  5.02677E-12  1.90615E-12
  2.700E+00  5.55063E-04  2.33399E-10  8.97129E-11  4.83389E-12  1.85800E-12
  2.800E+00  5.96931E-04  2.16721E-10  8.43852E-11  4.65481E-12  1.81242E-12
  2.900E+00  6.40321E-04  2.01750E-10  7.95314E-11  4.48811E-12  1.76921E-12
  3.000E+00  6.85233E-04  1.88263E-10  7.50963E-11  4.33257E-12  1.72819E-12
