 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   9,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  1.47834E-07  4.88369E-09  8.78498E-12  2.90217E-13
  8.000E-03  4.87388E-09  1.47795E-07  4.88345E-09  9.06596E-12  2.99564E-13
  8.250E-03  5.18326E-09  1.47754E-07  4.88320E-09  9.34671E-12  3.08910E-13
  8.500E-03  5.50215E-09  1.47713E-07  4.88295E-09  9.62723E-12  3.18254E-13
  8.750E-03  5.83057E-09  1.47670E-07  4.88268E-09  9.90751E-12  3.27597E-13
  9.000E-03  6.16850E-09  1.47626E-07  4.88241E-09  1.01875E-11  3.36938E-13
  9.250E-03  6.51596E-09  1.47580E-07  4.88213E-09  1.04673E-11  3.46278E-13
  9.500E-03  6.87293E-09  1.47534E-07  4.88185E-09  1.07468E-11  3.55616E-13
  9.750E-03  7.23942E-09  1.47486E-07  4.88155E-09  1.10261E-11  3.64952E-13
  1.000E-02  7.61544E-09  1.47437E-07  4.88125E-09  1.13050E-11  3.74286E-13
  1.250E-02  1.18991E-08  1.46881E-07  4.87781E-09  1.40780E-11  4.67528E-13
  1.500E-02  1.71347E-08  1.46208E-07  4.87361E-09  1.68161E-11  5.60551E-13
  1.750E-02  2.33223E-08  1.45419E-07  4.86866E-09  1.95130E-11  6.53313E-13
  2.000E-02  3.04617E-08  1.44520E-07  4.86297E-09  2.21627E-11  7.45769E-13
  2.250E-02  3.85531E-08  1.43513E-07  4.85653E-09  2.47594E-11  8.37880E-13
  2.500E-02  4.75965E-08  1.42404E-07  4.84935E-09  2.72978E-11  9.29602E-13
  2.750E-02  5.75917E-08  1.41198E-07  4.84145E-09  2.97732E-11  1.02090E-12
  3.000E-02  6.85389E-08  1.39899E-07  4.83283E-09  3.21811E-11  1.11172E-12
  3.250E-02  8.04380E-08  1.38513E-07  4.82349E-09  3.45176E-11  1.20204E-12
  3.500E-02  9.32891E-08  1.37046E-07  4.81345E-09  3.67791E-11  1.29181E-12
  3.750E-02  1.07092E-07  1.35504E-07  4.80272E-09  3.89626E-11  1.38099E-12
  4.000E-02  1.21847E-07  1.33891E-07  4.79130E-09  4.10656E-11  1.46956E-12
  4.250E-02  1.37554E-07  1.32215E-07  4.77921E-09  4.30861E-11  1.55747E-12
  4.500E-02  1.54213E-07  1.30482E-07  4.76646E-09  4.50223E-11  1.64468E-12
  4.750E-02  1.71823E-07  1.28696E-07  4.75306E-09  4.68731E-11  1.73117E-12
  5.000E-02  1.90386E-07  1.26864E-07  4.73903E-09  4.86377E-11  1.81691E-12
