

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     330      4.59267291E-02      4.60512896E-02  i
     340      4.45388427E-02      4.46586445E-02  i
     350      4.32033769E-02      4.33186966E-02  i
     360      4.19173401E-02      4.20284296E-02  i
     370      4.06780061E-02      4.07850949E-02  i
     380      3.94828827E-02      3.95861813E-02  i
     390      3.83296856E-02      3.84293869E-02  i
     400      3.72163149E-02      3.73125966E-02  i
     410      3.61408351E-02      3.62338612E-02  i
     420      3.51014574E-02      3.51913796E-02  i
     430      3.40965246E-02      3.41834835E-02  i
     440      3.31244972E-02      3.32086238E-02  i
     450      3.21839422E-02      3.22653583E-02  i
     460      3.12735221E-02      3.13523417E-02  i
     470      3.03919861E-02      3.04683158E-02  i
     480      2.95381619E-02      2.96121018E-02  i
     490      2.87109486E-02      2.87825927E-02  i
     500      2.79093101E-02      2.79787470E-02  i
     510      2.71322699E-02      2.71995831E-02  i
     520      2.63789054E-02      2.64441741E-02  i
     530      2.56483442E-02      2.57116430E-02  i
     540      2.49397594E-02      2.50011592E-02  i
     550      2.42523663E-02      2.43119345E-02  i
     560      2.35854193E-02      2.36432199E-02  i
     570      2.29382087E-02      2.29943027E-02  i
     580      2.23100582E-02      2.23645039E-02  i
     590      2.17003229E-02      2.17531755E-02  i
     600      2.11083863E-02      2.11596991E-02  i
     620      1.99755783E-02      2.00239613E-02  i
     640      1.89072142E-02      1.89528537E-02  i
     660      1.78992303E-02      1.79422981E-02  i
     680      1.69478783E-02      1.69885328E-02  i
     700      1.60496907E-02      1.60880788E-02  i
     720      1.52014522E-02      1.52377102E-02  i
     740      1.44001743E-02      1.44344292E-02  i
     760      1.36430747E-02      1.36754445E-02  i
     780      1.29275579E-02      1.29581529E-02  i
     800      1.22511998E-02      1.22801232E-02  i
     820      1.16117335E-02      1.16390817E-02  i
     840      1.10070363E-02      1.10328997E-02  i
     860      1.04351190E-02      1.04595824E-02  i
     880      9.89411574E-03      9.91725858E-03  i
     900      9.38227519E-03      9.40417213E-03  i
     920      8.89795228E-03      8.91867346E-03  i
     940      8.43960094E-03      8.45921231E-03  i
     960      8.00576737E-03      8.02433094E-03  i
     980      7.59508392E-03      7.61265804E-03  i
    1000      7.20626342E-03      7.22290303E-03  i
    1020      6.83809406E-03      6.85385087E-03  i
    1040      6.48943453E-03      6.50435727E-03  i
    1060      6.15920963E-03      6.17334421E-03  i
    1080      5.84640617E-03      5.85979584E-03  i
    1100      5.55006912E-03      5.56275468E-03  i
    1120      5.26929810E-03      5.28131800E-03  i
    1140      5.00324405E-03      5.01463455E-03  i
    1160      4.75110611E-03      4.76190143E-03  i
    1180      4.51212882E-03      4.52236123E-03  i
    1200      4.28559934E-03      4.29529930E-03  i
    1250      3.76941269E-03      3.77790377E-03  i
    1300      3.31740135E-03      3.32483934E-03  i
    1350      2.92131626E-03      2.92783617E-03  i
    1400      2.57400528E-03      2.57972422E-03  i
    1450      2.26926212E-03      2.27428176E-03  i
    1500      2.00169703E-03      2.00610569E-03  i
    1550      1.76662576E-03      1.77050023E-03  i
    1600      1.55997409E-03      1.56338120E-03  i
    1650      1.37819580E-03      1.38119371E-03  i
    1700      1.21820196E-03      1.22084138E-03  i
    1750      1.07729997E-03      1.07962510E-03  i
    1800      9.53141094E-04      9.55190506E-04  i
    1850      8.43675044E-04      8.45482425E-04  i
    1900      7.47110764E-04      7.48705553E-04  i
    1950      6.61882611E-04      6.63290547E-04  i
    2000      5.86621041E-04      5.87864649E-04  i
    2050      5.20127216E-04      5.21226218E-04  i
    2100      4.61351020E-04      4.62322700E-04  i
    2150      4.09372007E-04      4.10231517E-04  i
    2200      3.63382866E-04      3.64143503E-04  i
    2250      3.22675064E-04      3.23348499E-04  i
    2300      2.86626371E-04      2.87222857E-04  i
    2350      2.54690007E-04      2.55218558E-04  i
    2400      2.26385208E-04      2.26853751E-04  i
    2450      2.01289001E-04      2.01704512E-04  i
    2500      1.79029045E-04      1.79397667E-04  i
    2550      1.59277384E-04      1.59604529E-04  i
    2600      1.41745001E-04      1.42035440E-04  i
    2650      1.26177037E-04      1.26434978E-04  i
    2700      1.12348666E-04      1.12577823E-04  i
    2750      1.00061436E-04      1.00265088E-04  i
    2800      8.91400882E-05      8.93211299E-05  i
